Code,State,Hourly mean wage,Annual mean wage,State Code,state,TotalScore,Affordability,EducationAndChildCare,FamilyFun,HealthAndSafety,Socioeconomics,State Code,state,statesWithBestWeatherAverageTempF,statesWithBestWeatherAverageTempC,statesWithBestWeatherAvgAnnualSnowfall,statesWithBestWeatherAvgAnnualSunlight,statesWithBestWeatherMeanAnnualPrecipitation,statesWithBestWeatherNumofExremeWeatherEvents,Code,State,IsCompact,State Code,2023,state,GroceryCostsIndex,HealthCostsIndex,HousingCostsIndex,MiscCostsIndex,TransportationCostsIndex,UtilityCostsIndex,Rank,State,Avg# Salary,Hourly Rate,Job Count,State Code,State Code,State,Avg rent,Avg Income,Avg Housing price,Population
US-IL,Illinois,39.53,82220,US-IL,Illinois,55.49,11,25,4,29,45,US-IL,Illinois,51.8,11,21.75,4380,39.32,30,US-IL,Illinois,Waiting,US-IL,90.8,Illinois,97.5,95.4,78.3,94.3,102.4,90.9,8,Illinois,73071,35.13,2831,US-IL,US-IL,Illinois,$907 ,"$57,574 ","$173,800 ","12,812,508"
US-IN,Indiana,36.34,75580,US-IN,Indiana,45.77,23,27,33,38,18,US-IN,Indiana,51.7,10.9,21.93,4267,41.72,23,US-IN,Indiana,Yes,US-IN,91.5,Indiana,98,98.9,77,94.7,95.7,105.4,36,Indiana,60624,29.15,1010,US-IN,US-IN,Indiana,$745 ,"$49,255 ","$124,200 ","6,785,528"
US-KS,Kansas,34.61,71990,US-KS,Kansas,49.21,18,22,38,35,13,US-KS,Kansas,54.3,12.4,15.42,4890,28.92,33,US-KS,Kansas,Yes,US-KS,87.7,Kansas,96.8,97.1,69.4,91.9,88.3,107.5,32,Kansas,60335,29.01,511,US-KS,US-KS,Kansas,$757 ,"$52,205 ","$132,000 ","2,937,880"
US-KY,Kentucky,37.32,77620,US-KY,Kentucky,45.4,28,20,43,30,34,US-KY,Kentucky,55.6,13.1,8.83,4383,48.98,22,US-KY,Kentucky,Yes,US-KY,93.8,Kentucky,101.2,81.8,72.5,106.3,97.7,102.9,41,Kentucky,57374,27.58,603,US-KY,US-KY,Kentucky,$675 ,"$43,740 ","$123,200 ","4,505,836"
US-LA,Louisiana,36.5,75920,US-LA,Louisiana,36.8,36,47,14,49,49,US-LA,Louisiana,66.4,19.1,0.2,4725,60.09,16,US-LA,Louisiana,Yes,US-LA,92,Louisiana,95.1,97.9,84.7,96.3,97.2,85.3,37,Louisiana,62591,30.09,409,US-LA,US-LA,Louisiana,$788 ,"$45,047 ","$144,100 ","4,657,757"
US-MA,Massachusetts,50.07,104150,US-MA,Massachusetts,66.14,2,2,9,5,22,US-MA,Massachusetts,47.9,8.8,51.05,3944,47.88,6,US-MA,Massachusetts,Waiting,US-MA,148.4,Massachusetts,105,112.6,219.5,125.8,127.5,126.1,14,Massachusetts,78750,37.86,1329,US-MA,US-MA,Massachusetts,"$1,102 ","$68,563 ","$333,100 ","7,029,917"
US-MD,Maryland,42.3,87990,US-MD,Maryland,53.39,8,10,25,17,36,US-MD,Maryland,54.2,12.3,20.61,4267,44.64,19,US-MD,Maryland,Yes,US-MD,119.5,Maryland,108.5,96.2,152.2,108.5,100.2,109.2,3,Maryland,79828,38.38,1685,US-MD,US-MD,Maryland,"$1,230 ","$74,551 ","$286,900 ","6,165,129"
US-ME,Maine,37.22,77410,US-ME,Maine,55.01,32,4,45,2,14,US-ME,Maine,41,5,77.28,3815,42.28,2,US-ME,Maine,Yes,US-ME,111.5,Maine,101.2,96.2,118.9,112.8,112.8,108,30,Maine,62636,30.11,223,US-ME,US-ME,Maine,$777 ,"$49,331 ","$173,800 ","1,362,359"
US-MI,Michigan,38.78,80660,US-MI,Michigan,45.51,10,41,41,26,28,US-MI,Michigan,44.4,6.9,60.66,4018,32.84,12,US-MI,Michigan,Waiting,US-MI,92.7,Michigan,97.4,94,80.9,96.8,98.6,99.6,18,Michigan,70069,33.69,1103,US-MI,US-MI,Michigan,$783 ,"$49,576 ","$122,400 ","10,077,331"
US-MN,Minnesota,42.72,88860,US-MN,Minnesota,62.07,7,12,13,8,5,US-MN,Minnesota,41.2,5.1,43.43,3968,27.44,12,US-MN,Minnesota,Waiting,US-MN,94.1,Minnesota,97.2,111.5,82.3,99.6,99,91.5,19,Minnesota,68853,33.1,1138,US-MN,US-MN,Minnesota,$848 ,"$61,492 ","$186,200 ","5,706,494"
US-MO,Missouri,34.55,71860,US-MO,Missouri,49.21,27,23,22,34,16,US-MO,Missouri,54.5,12.5,12.67,4545,42.23,29,US-MO,Missouri,Yes,US-MO,88.4,Missouri,94.8,89.9,77.2,91.6,90.3,97.7,33,Missouri,63276,30.42,877,US-MO,US-MO,Missouri,$746 ,"$48,173 ","$138,400 ","6,154,913"
US-MS,Mississippi,32.66,67930,US-MS,Mississippi,30.01,42,34,49,50,50,US-MS,Mississippi,63.4,17.4,0.71,4693,59.23,20,US-MS,Mississippi,Yes,US-MS,85.3,Mississippi,97.1,97.6,68.6,91,88.6,86.1,48,Mississippi,56006,26.93,247,US-MS,US-MS,Mississippi,$717 ,"$39,665 ","$103,100 ","2,961,279"
US-MT,Montana,37.67,78350,US-MT,Montana,50.49,46,18,34,24,3,US-MT,Montana,42.7,5.9,37.28,3847,15.37,11,US-MT,Montana,Yes,US-MT,103.7,Montana,103,95.7,111.4,103.3,99.4,91.6,42,Montana,56865,27.34,211,US-MT,US-MT,Montana,$711 ,"$47,169 ","$193,500 ","1,084,225"
US-NC,North Carolina,37.22,77420,US-NC,North Carolina,43.11,39,37,24,37,29,US-NC,North Carolina,59,15,5.03,4466,50.45,23,US-NC,North Carolina,Yes,US-NC,96.1,North Carolina,99,109.5,92.1,97.3,93.5,94.5,7,North Carolina,73317,35.25,1798,US-NC,US-NC,North Carolina,$797 ,"$46,868 ","$154,900 ","10,439,388"
US-ND,North Dakota,36.06,75000,US-ND,North Dakota,59.6,16,1,32,16,1,US-ND,North Dakota,40.4,4.7,37,3925,17.82,5,US-ND,North Dakota,Yes,US-ND,94.6,North Dakota,94.6,111.6,84.3,96.9,101.4,101.8,50,North Dakota,47031,22.61,173,US-ND,US-ND,North Dakota,$709 ,"$57,181 ","$153,800 ","779,094"
US-NE,Nebraska,35.34,73510,US-NE,Nebraska,57.95,24,6,19,10,6,US-NE,Nebraska,48.8,9.3,28.12,4685,23.63,16,US-NE,Nebraska,Yes,US-NE,90.1,Nebraska,95.2,97.1,78.4,94.8,101.8,85.7,44,Nebraska,55131,26.51,370,US-NE,US-NE,Nebraska,$726 ,"$52,997 ","$133,200 ","1,961,504"
US-NH,New Hampshire,40.11,83420,US-NH,New Hampshire,58.17,22,5,36,3,8,US-NH,New Hampshire,43.8,6.6,71.44,3891,43.42,4,US-NH,New Hampshire,Yes,US-NH,115,New Hampshire,102.3,120.6,109.8,120.8,113.6,130.2,10,New Hampshire,72371,34.79,316,US-NH,US-NH,New Hampshire,"$1,000 ","$66,779 ","$237,300 ","1,377,529"
US-NJ,New Jersey,46.48,96670,US-NJ,New Jersey,58.14,3,3,23,13,25,US-NJ,New Jersey,52.7,11.5,23.73,4056,47.15,15,US-NJ,New Jersey,Yes,US-NJ,114.1,New Jersey,103.9,96.1,136.8,106.6,106.1,107.2,2,New Jersey,82466,39.65,1729,US-NJ,US-NJ,New Jersey,"$1,192 ","$72,093 ","$315,900 ","9,288,994"
US-NM,New Mexico,41.15,85580,US-NM,New Mexico,30.78,47,50,35,43,47,US-NM,New Mexico,53.4,11.9,22.74,5642,14.63,13,US-NM,New Mexico,Yes,US-NM,94.2,New Mexico,96.7,99.6,87.5,98.3,93.5,93.2,46,New Mexico,55903,26.88,302,US-NM,US-NM,New Mexico,$777 ,"$44,963 ","$160,300 ","2,117,522"
US-NV,Nevada,46.3,96310,US-NV,Nevada,41.41,49,49,5,42,48,US-NV,Nevada,49.9,9.9,18.83,5296,9.54,10,US-NV,Nevada,No,US-NV,101.3,Nevada,102.1,94.9,110.7,91.3,117.2,96.6,29,Nevada,63749,30.65,347,US-NV,US-NV,Nevada,$973 ,"$51,847 ","$173,700 ","3,104,614"
US-NY,New York,48.14,100130,US-NY,New York,61.11,6,14,2,9,46,US-NY,New York,45.4,7.4,55.32,3904,41.9,19,US-NY,New York,Waiting,US-NY,125.1,New York,103,104.5,173.3,109,106.7,102.5,5,New York,77475,37.25,3352,US-NY,US-NY,New York,"$1,132 ","$59,269 ","$283,400 ","20,201,249"
US-OH,Ohio,37.72,78450,US-OH,Ohio,47.69,15,36,16,28,42,US-OH,Ohio,50.7,10.4,26.63,4139,39.16,18,US-OH,Ohio,Yes,US-OH,94,Ohio,100.9,96.5,80.1,100.1,97.7,97.2,17,Ohio,68379,32.87,1586,US-OH,US-OH,Ohio,$730 ,"$49,429 ","$129,900 ","11,799,448"
US-OK,Oklahoma,36.98,76920,US-OK,Oklahoma,38.48,31,39,40,48,43,US-OK,Oklahoma,59.6,15.3,5.88,4912,36.55,35,US-OK,Oklahoma,Yes,US-OK,86,Oklahoma,93.8,91.8,68,91.5,92.3,98.2,51,Oklahoma,54964,26.43,354,US-OK,US-OK,Oklahoma,$727 ,"$46,879 ","$117,900 ","3,959,353"
US-OR,Oregon,51.26,106610,US-OR,Oregon,50.55,14,40,10,20,26,US-OR,Oregon,48.4,9.1,10.91,3830,27.55,12,US-OR,Oregon,No,US-OR,115.1,Oregon,107.6,101.4,139.9,105.8,113.6,94,20,Oregon,72311,34.76,590,US-OR,US-OR,Oregon,$907 ,"$51,243 ","$237,300 ","4,237,256"
US-PA,Pennsylvania,38.76,80630,US-PA,Pennsylvania,53.89,17,24,11,21,20,US-PA,Pennsylvania,48.8,9.3,35.84,3939,43.02,23,US-PA,Pennsylvania,Yes,US-PA,99,Pennsylvania,100.9,96.7,89.9,102,108.2,105.9,12,Pennsylvania,69574,33.45,2073,US-PA,US-PA,Pennsylvania,$840 ,"$53,599 ","$166,000 ","13,002,700"
US-RI,Rhode Island,42.43,88250,US-RI,Rhode Island,56.95,4,19,27,4,27,US-RI,Rhode Island,50.1,10.1,38.85,3989,47.98,5,US-RI,Rhode Island,Waiting,US-RI,110.5,Rhode Island,100.5,107.4,114.6,115.2,98.9,109.7,9,Rhode Island,71417,34.34,288,US-RI,US-RI,Rhode Island,$925 ,"$56,852 ","$238,000 ","1,097,379"
US-SC,South Carolina,35.74,74330,US-SC,South Carolina,37.16,38,46,42,41,39,US-SC,South Carolina,62.4,16.9,1.5,4624,49.84,18,US-SC,South Carolina,Yes,US-SC,96.5,South Carolina,100.1,96.7,89.4,99.5,91.6,105.3,38,South Carolina,62983,30.28,477,US-SC,US-SC,South Carolina,$790 ,"$45,483 ","$139,900 ","5,118,425"
US-SD,South Dakota,31.01,64500,US-SD,South Dakota,55.45,25,11,30,12,7,US-SD,South Dakota,45.2,7.3,37.43,4332,20.14,8,US-SD,South Dakota,Yes,US-SD,93.8,South Dakota,98,97,93.9,93.2,93,87.9,49,South Dakota,53843,25.89,163,US-SD,US-SD,South Dakota,$655 ,"$50,957 ","$140,500 ","886,667"
US-TN,Tennessee,34.85,72480,US-TN,Tennessee,46.17,30,26,20,40,24,US-TN,Tennessee,57.6,14.2,4.61,4486,54.22,26,US-TN,Tennessee,Yes,US-TN,90.4,Tennessee,97.8,88.1,82.9,92.8,90,93.2,34,Tennessee,61283,29.46,799,US-TN,US-TN,Tennessee,$764 ,"$45,219 ","$142,100 ","6,910,840"
US-TX,Texas,40.54,84320,US-TX,Texas,49.71,35,29,3,47,44,US-TX,Texas,64.8,18.2,1.36,5137,28.87,48,US-TX,Texas,Yes,US-TX,93,Texas,94.8,94.1,84.2,95.9,92.6,105.7,11,Texas,70393,33.84,4006,US-TX,US-TX,Texas,$882 ,"$53,207 ","$136,000 ","29,145,505"
US-UT,Utah,36.73,76400,US-UT,Utah,55.25,33,15,18,19,4,US-UT,Utah,48.6,9.2,40.99,4887,12.26,7,US-UT,Utah,Yes,US-UT,101.5,Utah,98.3,90.3,106.5,102.9,100.9,93.5,43,Utah,53407,25.68,739,US-UT,US-UT,Utah,$887 ,"$60,727 ","$215,900 ","3,271,616"
US-VA,Virginia,39.36,81860,US-VA,Virginia,52.6,20,17,28,15,17,US-VA,Virginia,55.1,12.8,14.85,4354,44.39,22,US-VA,Virginia,Yes,US-VA,103.1,Virginia,100.6,102.6,107.7,102.2,96.5,103.6,6,Virginia,75875,36.48,2234,US-VA,US-VA,Virginia,"$1,116 ","$65,015 ","$245,000 ","8,631,393"
US-VT,Vermont,38.46,79990,US-VT,Vermont,59.27,26,7,46,1,2,US-VT,Vermont,42.9,6.1,89.25,3826,42.82,3,US-VT,Vermont,Yes,US-VT,114.9,Vermont,103.1,106.2,131.4,106.1,115.6,120.8,40,Vermont,54505,26.2,185,US-VT,US-VT,Vermont,$895 ,"$55,176 ","$217,500 ","643,077"
US-WA,Washington,48.88,101670,US-WA,Washington,56.3,5,31,8,23,19,US-WA,Washington,48.3,9.1,15.57,3467,38.78,10,US-WA,Washington,Waiting,US-WA,115.1,Washington,109.7,119.8,129.4,110.8,117.1,92.2,13,Washington,80018,38.47,874,US-WA,US-WA,Washington,"$1,014 ","$61,062 ","$259,500 ","7,705,281"
US-WI,Wisconsin,38.94,81000,US-WI,Wisconsin,54.86,13,13,21,25,11,US-WI,Wisconsin,43.1,6.2,45.79,4023,32.64,13,US-WI,Wisconsin,Yes,US-WI,95,Wisconsin,97.9,113.7,84.4,96.7,98.6,102.8,21,Wisconsin,67290,32.35,879,US-WI,US-WI,Wisconsin,$776 ,"$53,357 ","$165,800 ","5,893,718"
US-WV,West Virginia,34.73,72230,US-WV,West Virginia,34.86,43,42,50,33,30,US-WV,West Virginia,51.8,11,25.13,4146,45.3,7,US-WV,West Virginia,Yes,US-WV,90.3,West Virginia,97.7,97,70.9,99,97.8,94.5,39,West Virginia,59694,28.7,213,US-WV,US-WV,West Virginia,$643 ,"$41,751 ","$103,800 ","1,793,716"
